# Program:featureCounts v2.0.7; Command:"featureCounts" "-a" "gtf_test.gtf" "-o" "SRR23584814_small_counts.txt" "SRR23584814_small_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR23584814_small_Aligned.sortedByCoord.out.bam
ENSG00000223972.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	11869;11872;11874;12010;12179;12595;12613;12613;12613;12975;13221;13221;13225;13403;13453;13661	12227;12227;12227;12057;12227;12721;12697;12721;12721;13052;13374;14409;14412;13655;13670;14409	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1756	0
ENSG00000227232.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	14363;14363;14363;14404;14411;14970;14970;14970;15000;15005;15796;15796;15796;15796;15904;15904;16607;16607;16607;16607;16748;16854;16854;16858;16858;16858;17233;17233;17233;17233;17233;17498;17602;17602;17606;17606;17606;17915;17915;17915;17915;17915;18268;18268;18268;18268;24734;24737;24738;24738;24738;29321;29321;29534;29534	14829;14829;14829;14501;14502;15038;15038;15038;15038;15038;15901;15947;15947;15901;15947;15947;16745;16765;16765;16765;16765;17055;17055;17055;17055;17055;17364;17368;17368;17364;17364;17504;17742;17742;17742;17742;17742;18061;18061;18061;18061;18061;18366;18366;18369;18379;24886;24891;24891;24891;24891;29370;29370;29806;29570	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2073	0
ENSG00000243485.2	chr1;chr1;chr1;chr1;chr1;chr1	29554;30267;30366;30564;30976;30976	30039;30667;30503;30667;31109;31097	+;+;+;+;+;+	1021	0
ENSG00000237613.2	chr1;chr1;chr1;chr1;chr1	34554;35245;35277;35721;35721	35174;35481;35481;36073;36081	-;-;-;-;-	1219	0
ENSG00000268020.2	chr1;chr1;chr1	52473;53049;54830	53312;53067;54936	+;+;+	947	0
ENSG00000240361.1	chr1	62948	63887	+	940	0
ENSG00000186092.4	chr1	69091	70008	+	918	0
ENSG00000238009.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	89295;92091;92230;110953;112700;112700;112700;120721;120775;129055;129055;129081;133374	91629;92240;92240;111357;112804;112804;112804;120932;120932;129173;129217;129223;133566	-;-;-;-;-;-;-;-;-;-;-;-;-	3569	0
ENSG00000239945.1	chr1;chr1	89551;90287	90050;91105	-;-	1319	0
ENSG00000233750.3	chr1	131025	134836	+	3812	0
ENSG00000237683.5	chr1;chr1	134901;137621	135802;139379	-;-	2661	0
ENSG00000268903.1	chr1	135141	135895	-	755	0
ENSG00000269981.1	chr1	137682	137965	-	284	0
ENSG00000239906.1	chr1;chr1	139790;140075	139847;140339	-;-	323	0
ENSG00000241860.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	141474;142808;146386;146386;146386;146642;155767;164263;165884;165889;168100;168100;168610;169049;172557;173753	143011;143011;146509;146509;149707;146831;155831;164791;165942;165942;168165;168165;168767;169264;172688;173862	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6195	0
ENSG00000222623.1	chr1	157784	157887	-	104	0
ENSG00000241599.1	chr1;chr1	160446;161314	160690;161525	+;+	457	0
ENSG00000228463.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	227615;227895;234355;236112;237054;238418;238418;257268;259017;259017;267096	228776;228776;234484;237955;237955;238567;238558;257672;259121;259121;267253	-;-;-;-;-;-;-;-;-;-;-	3954	0
ENSG00000241670.2	chr1;chr1	228292;228319	228654;228775	-;-	484	0
